id,title,url,img,date,ticketStatus
triolen-2025-storband-og-korps-i-episk-harmoni-021120251800,Triolen 2025 – Storband og korps i episk harmoni,https://www.hamar-kulturhus.no/arrangementer/triolen-2025-storband-og-korps-i-episk-harmoni-021120251800/,https://mff.dx.no/177417.jpg,2. november 2025,Ledige billetter
lisa-stokke-lisa-loves-abba-061120252000,Lisa Stokke – Lisa Loves ABBA,https://www.hamar-kulturhus.no/arrangementer/lisa-stokke-lisa-loves-abba-061120252000/,https://mff.dx.no/169878.jpg,6. november 2025,Ledige billetter
freddy-kjensmo-tid-for-tomgang-et-anti-motivasjonsforedrag-071120251900,Freddy Kjensmo: Tid For Tomgang – et ANTI-motivasjonsforedrag,https://www.hamar-kulturhus.no/arrangementer/freddy-kjensmo-tid-for-tomgang-et-anti-motivasjonsforedrag-071120251900/,https://mff.dx.no/173443.jpg,7. november 2025,Ledige billetter
martin-hagfors-071120252100,Martin Hagfors,https://www.hamar-kulturhus.no/arrangementer/martin-hagfors-071120252100/,https://mff.dx.no/173148.jpg,7. november 2025,Ledige billetter
hoyt-og-lavt-en-statusrapport-fra-norges-rikeste-land-081120252100,Høyt og lavt – en statusrapport fra Norges rikeste land,https://www.hamar-kulturhus.no/arrangementer/hoyt-og-lavt-en-statusrapport-fra-norges-rikeste-land-081120252100/,https://mff.dx.no/173628.jpg,8. november 2025,Ledige billetter
karius-og-baktus-091120251400,Karius og Baktus,https://www.hamar-kulturhus.no/arrangementer/karius-og-baktus-091120251400/,https://mff.dx.no/164993.jpg,9. november 2025,Ledige billetter
loke-teater-innlandet-231120251600,LOKE – Teater Innlandet,https://www.hamar-kulturhus.no/arrangementer/loke-teater-innlandet-231120251600/,https://mff.dx.no/173920.jpg,Fra 12. november 2025,Ledige billetter
toyser-jula-inn-2025-141120252100,Tøyser jula inn 2025,https://www.hamar-kulturhus.no/arrangementer/toyser-jula-inn-2025-141120252100/,https://mff.dx.no/175307.jpg,Fra 13. november 2025,Ledige billetter
buicken-lars-saabye-christensen-141120251930,Buicken – Lars Saabye Christensen,https://www.hamar-kulturhus.no/arrangementer/buicken-lars-saabye-christensen-141120251930/,https://mff.dx.no/159501.jpg,14. november 2025,Ledige billetter
byen-var-tema-kvinner-i-kamp-151120251230,Byen vår. Tema: Kvinner i kamp,https://www.hamar-kulturhus.no/arrangementer/byen-var-tema-kvinner-i-kamp-151120251230/,https://mff.dx.no/177038.jpg,15. november 2025,Ledige billetter
ole-borud-151120251930,Ole Børud,https://www.hamar-kulturhus.no/arrangementer/ole-borud-151120251930/,https://mff.dx.no/164614.jpg,15. november 2025,Ledige billetter
drommen-om-en-hvit-jul-riksteatret-181120251800,Drømmen om en hvit jul / Riksteatret,https://www.hamar-kulturhus.no/arrangementer/drommen-om-en-hvit-jul-riksteatret-181120251800/,https://mff.dx.no/173133.jpg,18. november 2025,Ledige billetter
julestemning-med-live-og-ronny-201120251800,Julestemning med Live og Ronny,https://www.hamar-kulturhus.no/arrangementer/julestemning-med-live-og-ronny-201120251800/,https://mff.dx.no/171818.jpg,20. november 2025,Ledige billetter
kork-og-vinneren-av-eurovision-young-musician-2024-211120251830,KORK og vinneren av Eurovision Young Musician 2024,https://www.hamar-kulturhus.no/arrangementer/kork-og-vinneren-av-eurovision-young-musician-2024-211120251830/,https://mff.dx.no/167114.jpg,21. november 2025,Ledige billetter
bjorn-bjarte-den-toffe-den-sarte-221120252000,Bjørn & Bjarte – den tøffe & den sarte,https://www.hamar-kulturhus.no/arrangementer/bjorn-bjarte-den-toffe-den-sarte-221120252000/,https://mff.dx.no/170979.jpg,22. november 2025,Ledige billetter
seniorakademiet,Seniorakademiet,https://www.hamar-kulturhus.no/arrangementer/seniorakademiet/,https://www.hamar-kulturhus.no/wp-content/uploads/2024/08/Senior_16x9_web-1.jpg,Fra 27. november 2025,Ledige billetter
syng-teater-innlandet-300420262000,SYNG! – Teater Innlandet,https://www.hamar-kulturhus.no/arrangementer/syng-teater-innlandet-300420262000/,https://mff.dx.no/173742.png,Fra 27. november 2025,Ledige billetter
o-helga-natt-didrik-solli-tangen-281120251900,O helga natt / Didrik Solli-Tangen,https://www.hamar-kulturhus.no/arrangementer/o-helga-natt-didrik-solli-tangen-281120251900/,https://mff.dx.no/169108.jpg,28. november 2025,Ledige billetter
stjernenatt-en-julekonsert-med-odd-rene-andersen-041220251900,Stjernenatt – en julekonsert med Odd René Andersen,https://www.hamar-kulturhus.no/arrangementer/stjernenatt-en-julekonsert-med-odd-rene-andersen-041220251900/,https://mff.dx.no/171589.jpg,4. desember 2025,Ledige billetter
desemberstemninger-ole-edvard-antonsen-stine-hole-ulla-og-espen-grjotheim-061220251900,"Desemberstemninger – Ole Edvard Antonsen, Stine Hole Ulla og Espen Grjotheim",https://www.hamar-kulturhus.no/arrangementer/desemberstemninger-ole-edvard-antonsen-stine-hole-ulla-og-espen-grjotheim-061220251900/,https://mff.dx.no/174439.jpg,6. desember 2025,Ledige billetter
darling-west-lights-juleturne-2025-091220251900,Darling West: Lights – Juleturné 2025,https://www.hamar-kulturhus.no/arrangementer/darling-west-lights-juleturne-2025-091220251900/,https://mff.dx.no/171038.jpg,9. desember 2025,Ledige billetter
seniorakademiet,Seniorakademiet,https://www.hamar-kulturhus.no/arrangementer/seniorakademiet/,https://www.hamar-kulturhus.no/wp-content/uploads/2024/08/Senior_16x9_web-1.jpg,Fra 11. desember 2025,Ledige billetter
sinikka-langeland-solo-111220251900,Sinikka Langeland solo,https://www.hamar-kulturhus.no/arrangementer/sinikka-langeland-solo-111220251900/,https://mff.dx.no/164763.jpg,11. desember 2025,Ledige billetter
jul-med-hedmarken-symfoniorkester-131220251800,Jul med Hedmarken Symfoniorkester,https://www.hamar-kulturhus.no/arrangementer/jul-med-hedmarken-symfoniorkester-131220251800/,https://mff.dx.no/177456.jpg,13. desember 2025,Ledige billetter
oslo-gospel-choir-181220251900,Oslo Gospel Choir,https://www.hamar-kulturhus.no/arrangementer/oslo-gospel-choir-181220251900/,https://mff.dx.no/175218.jpg,18. desember 2025,Ledige billetter
var-jul-191220252000,Vår jul,https://www.hamar-kulturhus.no/arrangementer/var-jul-191220252000/,https://mff.dx.no/171598.jpg,19. desember 2025,Ledige billetter
christmas-with-nordic-tenors-201220251800,Christmas with Nordic Tenors,https://www.hamar-kulturhus.no/arrangementer/christmas-with-nordic-tenors-201220251800/,https://mff.dx.no/162991.jpg,20. desember 2025,Ledige billetter
syng-teater-innlandet-300420262000,SYNG! – Teater Innlandet,https://www.hamar-kulturhus.no/arrangementer/syng-teater-innlandet-300420262000/,https://mff.dx.no/173742.png,Fra 8. januar 2026,Ledige billetter
melissa-horn-alene-med-gitar-310120262000,Melissa Horn – Alene med gitar,https://www.hamar-kulturhus.no/arrangementer/melissa-horn-alene-med-gitar-310120262000/,https://mff.dx.no/172829.jpg,31. januar 2026,Ledige billetter
takk-for-livet-teater-innlandet-260320261900,Takk for livet – Teater Innlandet,https://www.hamar-kulturhus.no/arrangementer/takk-for-livet-teater-innlandet-260320261900/,https://mff.dx.no/173968.png,Fra 5. februar 2026,Ledige billetter
kings-queens-solheimkoret-080220261800,Kings & Queens – Solheimkoret,https://www.hamar-kulturhus.no/arrangementer/kings-queens-solheimkoret-080220261800/,https://mff.dx.no/174256.jpg,8. februar 2026,Ledige billetter
labero-a-magic-night-scandinavian-tour-2026-130220261900,LABERO – A Magic Night Scandinavian Tour 2026,https://www.hamar-kulturhus.no/arrangementer/labero-a-magic-night-scandinavian-tour-2026-130220261900/,https://mff.dx.no/176361.jpg,13. februar 2026,Ledige billetter
laereren-riksteatret-190220261900,Læreren / Riksteatret,https://www.hamar-kulturhus.no/arrangementer/laereren-riksteatret-190220261900/,https://mff.dx.no/173137.jpg,19. februar 2026,Ledige billetter
syng-teater-innlandet-300420262000,SYNG! – Teater Innlandet,https://www.hamar-kulturhus.no/arrangementer/syng-teater-innlandet-300420262000/,https://mff.dx.no/173742.png,Fra 5. mars 2026,Ledige billetter
det-betales-50-arsjubileum-070320262000,Det Betales: 50-årsjubileum!,https://www.hamar-kulturhus.no/arrangementer/det-betales-50-arsjubileum-070320262000/,https://mff.dx.no/176989.jpg,7. mars 2026,Ledige billetter
trond-viggo-og-else-resten-av-livet-130320261900,Trond-Viggo og Else: Resten av livet,https://www.hamar-kulturhus.no/arrangementer/trond-viggo-og-else-resten-av-livet-130320261900/,https://mff.dx.no/174936.jpg,13. mars 2026,Ledige billetter
takk-for-livet-teater-innlandet-260320261900,Takk for livet – Teater Innlandet,https://www.hamar-kulturhus.no/arrangementer/takk-for-livet-teater-innlandet-260320261900/,https://mff.dx.no/173968.png,Fra 18. mars 2026,Ledige billetter
lordagsmatine-trond-granlund-280320261400,Lørdagsmatiné: Trond Granlund,https://www.hamar-kulturhus.no/arrangementer/lordagsmatine-trond-granlund-280320261400/,https://mff.dx.no/176625.jpg,28. mars 2026,Ledige billetter
anne-kat-haerland-250420262000,Anne-Kat Hærland,https://www.hamar-kulturhus.no/arrangementer/anne-kat-haerland-250420262000/,https://mff.dx.no/177322.jpg,25. april 2026,Ledige billetter
kim-wigaard-260420261900,Kim Wigaard,https://www.hamar-kulturhus.no/arrangementer/kim-wigaard-260420261900/,https://mff.dx.no/177247.jpg,26. april 2026,Ledige billetter
syng-teater-innlandet-300420262000,SYNG! – Teater Innlandet,https://www.hamar-kulturhus.no/arrangementer/syng-teater-innlandet-300420262000/,https://mff.dx.no/173742.png,Fra 30. april 2026,Ledige billetter
skorpionens-spill-i-skyggen-av-roblox-riksteatret-090520261700,Skorpionens spill – I skyggen av Roblox / Riksteatret,https://www.hamar-kulturhus.no/arrangementer/skorpionens-spill-i-skyggen-av-roblox-riksteatret-090520261700/,https://mff.dx.no/173141.jpg,9. mai 2026,Ledige billetter
