ID,Price,Item title,Final URL,Image URL,Item subtitle,Availability
buicken-lars-saabye-christensen-141120251930,NOK 100,Buicken – Lars Saabye Christensen,https://www.hamar-kulturhus.no/arrangementer/buicken-lars-saabye-christensen-141120251930/,https://mff.dx.no/159501.jpg,14. november 2025,Ledige billetter
byen-var-tema-kvinner-i-hamar-151120251230,NOK 100,Byen vår. Tema: Kvinner i Hamar,https://www.hamar-kulturhus.no/arrangementer/byen-var-tema-kvinner-i-hamar-151120251230/,https://mff.dx.no/178837.jpg,15. november 2025,Ledige billetter
ole-borud-151120251930,NOK 100,Ole Børud,https://www.hamar-kulturhus.no/arrangementer/ole-borud-151120251930/,https://mff.dx.no/164614.jpg,15. november 2025,Ledige billetter
drommen-om-en-hvit-jul-riksteatret-181120251800,NOK 100,Drømmen om en hvit jul / Riksteatret,https://www.hamar-kulturhus.no/arrangementer/drommen-om-en-hvit-jul-riksteatret-181120251800/,https://mff.dx.no/178886.jpg,18. november 2025,Ledige billetter
julestemning-med-live-og-ronny-201120251800,NOK 100,Julestemning med Live og Ronny,https://www.hamar-kulturhus.no/arrangementer/julestemning-med-live-og-ronny-201120251800/,https://mff.dx.no/171818.jpg,20. november 2025,Ledige billetter
kork-med-solist-leonhard-baumgartner-pa-fiolin-211120251830,NOK 100,KORK med solist Leonhard Baumgartner på fiolin,https://www.hamar-kulturhus.no/arrangementer/kork-med-solist-leonhard-baumgartner-pa-fiolin-211120251830/,https://mff.dx.no/167114.jpg,21. november 2025,Ledige billetter
zimmermann-221120252100,NOK 100,Zimmermann,https://www.hamar-kulturhus.no/arrangementer/zimmermann-221120252100/,https://mff.dx.no/182775.jpg,22. november 2025,Få billetter igjen
bjorn-bjarte-den-toffe-den-sarte-221120252000,NOK 100,Bjørn & Bjarte – den tøffe & den sarte,https://www.hamar-kulturhus.no/arrangementer/bjorn-bjarte-den-toffe-den-sarte-221120252000/,https://mff.dx.no/170979.jpg,22. november 2025,Få billetter igjen
vettug-viten-hva-er-egentlig-antibiotikaresistens,NOK 100,Vettug viten: Hva er egentlig antibiotikaresistens?,https://www.hamar-kulturhus.no/arrangementer/vettug-viten-hva-er-egentlig-antibiotikaresistens/,https://www.hamar-kulturhus.no/wp-content/uploads/2025/09/2611-VV-Kalender-og-fb-169-Hamar.png,26. november 2025,Gratis inngang
syng-teater-innlandet-300420262000,NOK 100,SYNG! – Teater Innlandet,https://www.hamar-kulturhus.no/arrangementer/syng-teater-innlandet-300420262000/,https://mff.dx.no/173742.png,Fra 27. november 2025,Ledige billetter
o-helga-natt-didrik-solli-tangen-281120251900,NOK 100,O helga natt / Didrik Solli-Tangen,https://www.hamar-kulturhus.no/arrangementer/o-helga-natt-didrik-solli-tangen-281120251900/,https://mff.dx.no/169108.jpg,28. november 2025,Få billetter igjen
